Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Chad,TCD,1642178470,1786960117,2148689588,3498815435,3919435631,4965668861,5641235016,6851462221,7788358534,8517557022,8826418419,9208867308,10014725095,8386630140,7632259423,6802863734,7958117004,8147213441,7507553247,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Chile,CHL,56843992495,59203000902,72495314503,89113727409,99948911060,1.14102E+11,1.28852E+11,1.30168E+11,1.61407E+11,1.89257E+11,2.08308E+11,2.17816E+11,2.09608E+11,2.01859E+11,2.01499E+11,2.17178E+11,2.27582E+11,2.17037E+11,1.97886E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1.24188E+12,1.39975E+12,1.62031E+12,1.8714E+12,2.24559E+12,2.87514E+12,3.60112E+12,4.07205E+12,4.69693E+12,5.59948E+12,6.49992E+12,7.18914E+12,7.95665E+12,8.33424E+12,8.52921E+12,9.37528E+12,1.03501E+13,1.06226E+13,1.06852E+13,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Colombia,COL,79387666166,75468038824,92704036322,1.16434E+11,1.28138E+11,1.65614E+11,1.90747E+11,1.88129E+11,2.27566E+11,2.58085E+11,2.89205E+11,3.01031E+11,3.05891E+11,2.45688E+11,2.39555E+11,2.59451E+11,2.74061E+11,2.66333E+11,2.27404E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Comoros,COM,389152409.1,497796662.6,579024523.4,599693459.1,641722028.7,726914155.5,834454256.8,826598949.2,825863760.1,926757660.9,915280326.5,1006904786,1035479219,869303508.6,913985655.8,976666219.1,1079959821,1066950356,1109371110,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,"Congo, Dem. Rep.",COD,5793699490,5180599023,6661806926,7934152878,10112780638,11037078946,12153861802,11744676355,14599970115,17003233225,19348013696,21908947966,22931974400,25498399018,26895322705,27415325666,36230926635,41419495907,38692877465,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,"Congo, Rep.",COG,574464035.8,923435807.4,747142834.6,1254538147,1787843831,2653271153,3254989956,4198880396,4934397805,4513320469,7372715215,9821322102,10940629530,7921963934,6470962464,4879926970,4712710102,3442036142,3928807447,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Costa Rica,CRI,14828859924,15450730214,16700878834,17998406508,20669686959,24641165365,28501127077,27919626881,34264403149,38828854993,43147195938,46371441454,47156778648,51113901567,53320894309,54101224298,55689712655,56768351250,54509217555,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Cote d'Ivoire,CIV,10081303953,12236232045,13714965167,14980682487,15345620522,17887117379,21350135354,21879126591,22579947339,22512480581,24359066396,28252859643,33234851299,43321638909,44753111477,47677685551,53506647160,54376379534,57263296070,..
