Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,"Egypt, Arab Rep.",EGY,75878062209,70508404766,67376105633,74906877152,90440919472,1.11804E+11,1.3579E+11,1.64265E+11,1.86886E+11,1.95885E+11,2.38265E+11,2.46859E+11,2.64685E+11,2.97828E+11,3.00722E+11,2.07382E+11,2.16082E+11,2.62395E+11,3.24777E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,El Salvador,SLV,11468953812,11873661577,12207391354,13094560447,14273580427,15077468716,15870655165,15222620958,15990497796,17766590247,18257255396,18427419161,18855262246,19474788234,19884298324,20283719303,20871211212,21799043847,19685112714,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Equatorial Guinea,GNQ,-165154540.4,-98051694.12,..,-365719776.6,2653163921,3587010063,4415904648,4284949523,2422697851,3747596714,4729002740,6022942435,6931985857,6385435764,5874572385,5222735136,5472591881,4714808880,4468538386,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Eritrea,ERI,628568256.7,741350916.4,951523231,955905622.9,1070000713,1164215429,1216784261,1668200429,1418672190,1452960127,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Estonia,EST,6086721374,8066920937,9892219716,11663718123,13917101446,17829378541,19329663109,15553609001,15124462111,18230610579,18367583014,20361095251,21624988102,18680645515,19789600872,21971181922,25232300816,25802212077,25797301463,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Eswatini,SWZ,1214838882,1845587598,2393583417,2934171695,2868118847,3025514755,2818031315,2996783097,3593086199,3854964887,3880064035,3758304240,3612161568,3300056599,3004549695,3433940007,3676495567,3376562324,2935816040,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Ethiopia,ETH,5369008253,4718216119,6420276583,8480313015,10957806888,13666409171,19558295364,23931225885,22242321778,23199284862,31908331623,35392518786,42506229501,49524961108,58233565857,65207757638,70976161094,81877685968,92857766398,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Fiji,FJI,1668991467,2058431120,2456823376,2726952220,2645826567,2988219977,3135736205,2605111933,2744978995,3169228055,3311578365,3616584720,3984109484,3759685285,4014658180,4217998705,4474530988,4296939797,3634082789,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Finland,FIN,1.16033E+11,1.40517E+11,1.64916E+11,1.69839E+11,1.80662E+11,2.12408E+11,2.33837E+11,2.06734E+11,2.04892E+11,2.24704E+11,2.10236E+11,2.19654E+11,2.24407E+11,1.92618E+11,1.96815E+11,2.07812E+11,2.25589E+11,2.19054E+11,2.20996E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,France,FRA,1.27599E+12,1.56807E+12,1.81217E+12,1.87371E+12,1.97761E+12,2.26868E+12,2.47837E+12,2.26927E+12,2.2312E+12,2.42948E+12,2.25657E+12,2.36334E+12,2.39599E+12,2.05491E+12,2.07729E+12,2.18293E+12,2.34226E+12,2.28639E+12,2.14078E+12,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Gabon,GAB,3040991267,3623369607,3644962868,4502960184,4529625635,5404643779,6367052321,6603226582,7183847378,8375580793,8620332404,9457421493,11257078543,9617536955,9420530392,9449622801,10363767952,9981301610,9653925697,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,"Gambia, The",GMB,436776498.7,359012085.8,773855953,827345782.6,836960983.2,1013622577,1223011508,1120779258,1186702278,1026848708,1008181037,985404242.1,888674680.6,989198189.5,1051242356,1077043775,1288159521,1387800887,1441628143,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Georgia,GEO,2926252386,3420334523,4503296928,5630023755,6883640724,8864253235,11094598705,9281461691,10276252181,12585699845,14039834456,14515031914,15023697714,12416581202,12149645126,13075476398,14400668790,14148857743,12720459835,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Germany,DEU,1.69506E+12,2.03954E+12,2.34811E+12,2.37831E+12,2.53214E+12,2.88841E+12,3.1192E+12,2.83891E+12,2.84481E+12,3.17248E+12,2.97034E+12,3.14143E+12,3.26274E+12,2.82644E+12,2.93092E+12,3.11428E+12,3.3781E+12,3.2924E+12,3.19551E+12,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Ghana,GHA,4633033570,5530893972,6712215129,8355764816,16855029865,20272452545,23485959967,21088072020,25851318317,29447615637,30078679380,49539143375,40903460500,38453987035,43908218459,46048137752,51946491157,52946920255,58310998298,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Greece,GRC,..,..,..,..,2.28683E+11,2.636E+11,2.90315E+11,2.70481E+11,2.40151E+11,2.24931E+11,1.9996E+11,1.95757E+11,1.96147E+11,1.6222E+11,1.60417E+11,1.66489E+11,1.77354E+11,1.72817E+11,1.57851E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Guatemala,GTM,18110032833,18987268822,20563302737,23196978303,25441813052,28480112504,32815743527,31475955171,34166013527,39194759308,42101378380,44831419816,48818849640,53182418740,55940553204,60533891825,62311230802,65972365521,66643726741,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Guinea,GIN,2486607621,2578158527,2826832858,2125637776,3538990350,5304330588,5840978397,5475799115,5634084279,5510497992,6175887256,6533523002,6886565199,7081880293,6748540939,8274479888,9499264716,10949182419,12082621148,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Guinea-Bissau,GNB,334124722.8,355798762.7,418496496,465910250.3,473752387,535337393.4,661737562.7,623124384.7,665789356.5,895074514,762849163.3,784208387.1,830811761.1,810014817.6,930354352.8,1075483464,1242576672,1258318626,1237840561,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Guyana,GUY,570373762.1,579185095.2,609217892.2,655007380.8,2075276052,2438044270,2705943784,2813777663,2937073493,3104041179,3452719899,3613380867,3663919608,3884340764,3784919795,4117934176,4346524583,4713371633,3550709874,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Haiti,HTI,5915043290,4691473176,5832460147,6905536069,7223159783,9189998646,10025430672,11105319305,11271100803,12384372929,13037703631,14153515125,14428017324,14217295014,13199839027,14140132539,15567691172,13944784801,13625392397,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Honduras,HND,6975813804,7273906255,7761172131,8572143483,9536941841,11021998392,12460062100,13193306862,13732209907,15650844458,16099011126,16063887219,16949741189,18312964253,18807670357,20302528531,20768620493,21818867425,21103947752,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Hungary,HUN,52145061674,66305594187,81093793955,88040770941,90166453272,1.07113E+11,1.21771E+11,1.0113E+11,1.01872E+11,1.08995E+11,98920536962,1.07329E+11,1.10708E+11,98115515834,1.03502E+11,1.136E+11,1.28206E+11,1.32629E+11,1.24371E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Iceland,ISL,..,..,..,..,..,..,..,..,..,10238670409,10357250197,12660493765,14132675723,13982658600,16743162412,19975643952,20577317457,20736980235,17607586400,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,4.51018E+11,5.33298E+11,6.19171E+11,7.12942E+11,8.15853E+11,1.05364E+12,1.02078E+12,1.16222E+12,1.44608E+12,1.57247E+12,1.57945E+12,1.59902E+12,1.772E+12,1.84072E+12,1.99393E+12,2.3213E+12,2.35665E+12,2.50734E+12,2.32211E+12,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Indonesia,IDN,1.4565E+11,1.73305E+11,1.84146E+11,2.00562E+11,2.59797E+11,3.08031E+11,3.64965E+11,4.00411E+11,5.65611E+11,6.59627E+11,6.88322E+11,6.86884E+11,6.70001E+11,6.61545E+11,7.37524E+11,8.03506E+11,8.2431E+11,8.88915E+11,8.45735E+11,..
