,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
80,Guatemala,GTM,18110032833.0,18987268822.0,20563302737.0,23196978303.0,25441813052.0,28480112504.0,32815743527.0,31475955171.0,34166013527.0,39194759308.0,42101378380.0,44831419816.0,48818849640.0,53182418740.0,55940553204.0,60533891825.0,62311230802.0,65972365521.0
81,Guinea,GIN,2486607621.0,2578158527.0,2826832858.0,2125637776.0,3538990350.0,5304330588.0,5840978397.0,5475799115.0,5634084279.0,5510497992.0,6175887256.0,6533523002.0,6886565199.0,7081880293.0,6748540939.0,8274479888.0,9499264716.0,10949182419.0
82,Guinea-Bissau,GNB,334124722.8,355798762.7,418496496.0,465910250.3,473752387.0,535337393.4,661737562.7,623124384.7,665789356.5,895074514.0,762849163.3,784208387.1,830811761.1,810014817.6,930354352.8,1075483464.0,1242576672.0,1258318626.0
83,Guyana,GUY,570373762.1,579185095.2,609217892.2,655007380.8,2075276052.0,2438044270.0,2705943784.0,2813777663.0,2937073493.0,3104041179.0,3452719899.0,3613380867.0,3663919608.0,3884340764.0,3784919795.0,4117934176.0,4346524583.0,4713371633.0
84,Haiti,HTI,5915043290.0,4691473176.0,5832460147.0,6905536069.0,7223159783.0,9189998646.0,10025430672.0,11105319305.0,11271100803.0,12384372929.0,13037703631.0,14153515125.0,14428017324.0,14217295014.0,13199839027.0,14140132539.0,15567691172.0,13944784801.0
85,Honduras,HND,6975813804.0,7273906255.0,7761172131.0,8572143483.0,9536941841.0,11021998392.0,12460062100.0,13193306862.0,13732209907.0,15650844458.0,16099011126.0,16063887219.0,16949741189.0,18312964253.0,18807670357.0,20302528531.0,20768620493.0,21818867425.0
87,Hungary,HUN,52145061674.0,66305594187.0,81093793955.0,88040770941.0,90166453272.0,107113000000.0,121771000000.0,101130000000.0,101872000000.0,108995000000.0,98920536962.0,107329000000.0,110708000000.0,98115515834.0,103502000000.0,113600000000.0,128206000000.0,132629000000.0
89,India,IND,451018000000.0,533298000000.0,619171000000.0,712942000000.0,815853000000.0,1053640000000.0,1020780000000.0,1162220000000.0,1446080000000.0,1572470000000.0,1579450000000.0,1599020000000.0,1772000000000.0,1840720000000.0,1993930000000.0,2321300000000.0,2356650000000.0,2507340000000.0
90,Indonesia,IDN,145650000000.0,173305000000.0,184146000000.0,200562000000.0,259797000000.0,308031000000.0,364965000000.0,400411000000.0,565611000000.0,659627000000.0,688322000000.0,686884000000.0,670001000000.0,661545000000.0,737524000000.0,803506000000.0,824310000000.0,888915000000.0
91,"Iran, Islamic Rep.",IRN,102837000000.0,121484000000.0,151755000000.0,177071000000.0,208427000000.0,283955000000.0,327046000000.0,342873000000.0,404061000000.0,475940000000.0,486552000000.0,366225000000.0,341385000000.0,306480000000.0,338147000000.0,351789000000.0,209701000000.0,193463000000.0
