Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,50.86,53.226,58.865,59.224,59.595,60.103,60.479,60.821,61.191,61.644,60.708,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,49.769,56.111,64.838,65.067,65.6,66.033,66.289,66.577,67.067,67.3,67.133,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,69.47560976,70.41707317,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.34634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,63.072,47.256,49.835,51.486,53.05,55.019,56.659,57.895,59.411,60.549,59.692,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,44.557,50.538,61.543,62.373,62.905,63.649,64.392,64.838,65.412,65.838,65.371,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,76.11463415,78.43658537,81.1902439,81.44146341,81.59268293,81.79268293,82.09268293,82.29268293,82.54390244,82.79268293,83.09268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,65.508,66.31,67.552,67.428,67.376,66.844,67.24,67.79,67.81,67.893,67.924,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,74.81317073,77.46585366,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,82.13170732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,76.6,79.05609756,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,73.983,79.536,81.759,82.017,82.214,82.354,82.488,82.618,82.783,82.996,82.217,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,60.311,61.069,64.587,64.776,64.974,65.46,65.802,66.189,66.306,66.603,66.531,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,51.319,56.942,62.096,62.114,62.269,62.494,63.013,62.995,63.04,63.755,62.612,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,68.389,69.575,72.412,72.628,73.099,73.297,73.569,73.57,73.341,73.47,72.765,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,75.08563415,77.92682927,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,80.94146341,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,55.62,58.195,62.081,62.42,63.045,63.175,63.89,64.013,64.122,64.74,64.114,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,77.072,81.37,83.366,80.55,81.882,80.427,81.702,81.83,82.154,82.363,82.198,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,76.93902439,77.88780488,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439,81.08780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,65.06829268,66.22243902,70.55,71.57341463,71.98560976,71.97731707,71.82512195,71.5797561,71.88658537,72.04756098,71.40463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,70.683,72.783,75.042,75.116,74.985,75.013,74.762,74.765,74.808,74.863,74.924,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,72.473,74.417,76.707,76.72,76.749,76.616,76.877,77.155,77.439,77.717,76.612,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,62.473,67.446,71.463,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,47.004,52.479,57.406,57.791,57.886,58.134,58.763,59.109,59.349,59.72,59.327,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,47.084,50.121,57.69,58.232,58.61,59.128,59.674,60.066,60.502,60.882,59.999,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,62.415,64.483,67.23,67.473,67.882,68.201,68.384,68.667,68.896,69.124,68.486,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,52.975,58.365,62.291,62.605,62.987,63.237,63.392,63.854,64.019,64.255,64.052,..
