,Country Name,Country Code,NetIncomeMean,GdpMean,InflMean,LifeExpMean,SuicideMean,UnempMean
84,Malaysia,MYS,231555800000.0,329137800000.0,60271000001.50188,75.45259999999999,5.279999999999999,3.3019999980000003
85,Maldives,MDV,3936995800.0,4830620102.6,821884960.6813279,79.9278,2.9200000000000004,5.975599956799999
86,Mali,MLI,13107472908.2,15369528448.6,2620952866.5202985,59.0566,4.159999999999999,7.5159999846
87,Mauritania,MRT,6108063548.8,6981083049.8,1233371527.6220098,65.0666,3.06,10.303399848
88,Mauritius,MUS,12678338274.8,13497399925.6,2401458210.8532763,74.38297560999999,8.76,6.7459999084
89,Mexico,MEX,925078000000.0,1180138000000.0,234374000003.4797,74.2898,5.5600000000000005,3.6699999808
91,Moldova,MDA,9003618851.8,9783048240.0,1549048386.7624755,70.22,15.22,4.4059999468
92,Mongolia,MNG,9082752211.0,12333308813.6,2323978483.0320044,70.5242,19.160000000000004,5.855800056600001
93,Morocco,MAR,96698297267.2,119357800000.0,22082800000.899456,73.624,7.220000000000001,9.3093999862
94,Myanmar,MMR,56039508977.6,64125783874.2,12609061051.239752,66.0328,3.04,0.975399995
95,Nepal,NPL,27387710769.2,29030839935.4,4872159086.609457,68.7358,8.7,3.1151999952
96,Netherlands,NLD,701557000000.0,841548000000.0,153114600001.20706,81.751219512,11.8,4.9860000612
97,New Zealand,NZL,164259800000.0,199782800000.0,35612800001.14299,81.65873170799999,11.8,4.7479999542
98,Nicaragua,NIC,11287383439.4,13090115217.6,2551341320.139474,73.5394,4.38,4.4621999262
99,Niger,NER,11472316625.6,11398589645.6,1936773579.7856147,62.0446,5.32,0.5409999966
100,Nigeria,NGA,354979200000.0,428656200000.0,98605400011.13808,52.3306,3.6,7.349200057999999
101,North Macedonia,MKD,9174777645.0,11466690837.0,2012903087.0674164,76.001463414,9.32,22.033999632
102,Norway,NOR,323226200000.0,398992800000.0,77160400002.07153,82.60780488,12.2,4.125999974999999
103,Oman,OMN,47482874910.4,82852587776.4,15742158648.344294,77.899,4.8,2.575
104,Pakistan,PAK,267812000000.0,320085800000.0,54111200004.701385,66.2224,9.0,3.777399969
105,Panama,PAN,52682693656.0,61223200000.0,10818360000.404362,77.7178,3.04,3.7315999508
106,Papua New Guinea,PNG,18466091837.8,22817213648.8,4344706238.679788,65.06,2.9400000000000004,2.4959999562
107,Paraguay,PRY,33656076420.0,37889812841.4,7242289570.884401,73.5116,5.82,5.446000004
108,Peru,PER,175350400000.0,208725600000.0,37961000002.06268,75.8908,2.72,3.5140000344
109,Philippines,PHL,339099600000.0,335443800000.0,61289200002.36167,71.545,2.22,2.5799999714000004
110,Poland,POL,448845200000.0,531323600000.0,95422200001.0903,77.712682926,13.4,5.1359999178
111,Portugal,PRT,177574000000.0,221895600000.0,39878800000.661575,81.33463414399999,11.96,9.165999793
112,Qatar,QAT,127913400000.0,166748800000.0,32348000000.53213,80.62039999999999,5.92,0.1340000018
113,Romania,ROU,173794200000.0,213530400000.0,35576400001.64951,75.27951219600001,10.34,5.1480000018
114,Russian Federation,RUS,1177716000000.0,1512982000000.0,272696000003.61493,72.206439022,28.68,5.138000011600001
115,Rwanda,RWA,7453446828.0,9296381030.6,1707884985.6981091,65.9328,5.640000000000001,1.1276000024
116,Samoa,WSM,709974979.0600001,868863291.2800001,164832005.2868802,72.4876,12.66,8.495600128
117,Saudi Arabia,SAU,587589000000.0,721597400000.0,130854000000.31908,77.1316,6.18,5.768599987
118,Senegal,SEN,18185542618.2,20865470694.8,3554953328.074998,67.74980000000001,6.2,4.2090000628
120,Singapore,SGP,259074600000.0,344500000000.0,61600800000.20956,83.11560975600001,9.54,3.7625998974
