,Unnamed: 0,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean,Happiness score
102,102.0,Mauritius,MUS,74.38297560999999,8.76,6.7459999084,6.071
103,103.0,Mexico,MEX,74.2898,5.5600000000000005,3.6699999808,6.128
104,104.0,Moldova,MDA,70.22,15.22,4.4059999468,5.857
105,105.0,Mongolia,MNG,70.5242,19.160000000000004,5.855800056600001,5.761
106,106.0,Montenegro,MNE,76.57999999799999,20.96,16.323999978,5.547
107,107.0,Morocco,MAR,73.624,7.220000000000001,9.3093999862,5.06
108,108.0,Mozambique,MOZ,59.7304,13.6,3.4500000478,5.048
109,109.0,Myanmar,MMR,66.0328,3.04,0.975399995,4.394
110,110.0,Namibia,NAM,62.0672,10.56,21.15359993,4.459
111,111.0,Nepal,NPL,68.7358,8.7,3.1151999952,5.377
112,112.0,Netherlands,NLD,81.751219512,11.8,4.9860000612,7.415
113,113.0,New Zealand,NZL,81.65873170799999,11.8,4.7479999542,7.2
114,114.0,Nicaragua,NIC,73.5394,4.38,4.4621999262,6.165
115,115.0,Niger,NER,62.0446,5.32,0.5409999966,
116,116.0,Nigeria,NGA,52.3306,3.6,7.349200057999999,4.552
117,117.0,North Macedonia,MKD,76.001463414,9.32,22.033999632,5.199
118,118.0,Norway,NOR,82.60780488,12.2,4.125999974999999,7.365
119,119.0,Oman,OMN,77.899,4.8,2.575,
120,120.0,Pakistan,PAK,66.2224,9.0,3.777399969,4.516
121,121.0,Panama,PAN,77.7178,3.04,3.7315999508,6.309
122,122.0,Papua New Guinea,PNG,65.06,2.9400000000000004,2.4959999562,
123,123.0,Paraguay,PRY,73.5116,5.82,5.446000004,5.578
124,124.0,Peru,PER,75.8908,2.72,3.5140000344,5.559
125,125.0,Philippines,PHL,71.545,2.22,2.5799999714000004,5.904
126,126.0,Poland,POL,77.712682926,13.4,5.1359999178,6.123
127,127.0,Portugal,PRT,81.33463414399999,11.96,9.165999793,6.016
128,128.0,Qatar,QAT,80.62039999999999,5.92,0.1340000018,
129,129.0,Romania,ROU,75.27951219600001,10.34,5.1480000018,6.477
130,130.0,Russian Federation,RUS,72.206439022,28.68,5.138000011600001,
131,131.0,Rwanda,RWA,65.9328,5.640000000000001,1.1276000024,
132,132.0,Samoa,WSM,72.4876,12.66,8.495600128,
133,133.0,Sao Tome and Principe,STP,67.9772,1.5,13.97880001,
134,134.0,Saudi Arabia,SAU,77.1316,6.18,5.768599987,6.523
135,135.0,Senegal,SEN,67.74980000000001,6.2,4.2090000628,5.046
136,136.0,Serbia,SRB,75.668292684,10.98,13.9039999,6.178
137,137.0,Sierra Leone,SLE,58.8592,6.34,4.6754000664,3.574
138,138.0,Singapore,SGP,83.11560975600001,9.54,3.7625998974,6.48
139,139.0,Slovak Republic,SVK,77.16536585399999,12.260000000000002,8.313999938399999,
140,140.0,Slovenia,SVN,81.177560976,19.7,6.6159999848,6.63
141,141.0,Solomon Islands,SLB,69.9854,15.02,0.7236000060000001,
142,142.0,Somalia,SOM,55.80160000000001,7.959999999999999,18.870399856,
143,143.0,South Africa,ZAF,65.18960000000001,24.34,26.822000124,5.194
144,144.0,South Sudan,SSD,55.65619999999999,3.74,12.257399942,
145,145.0,Spain,ESP,83.341463416,7.88,17.651999664,6.476
146,146.0,Sri Lanka,LKA,75.48339999999999,14.5,4.296000004,4.362
147,147.0,St. Lucia,LCA,73.23580000000001,7.979999999999999,18.694200132,
148,148.0,St. Vincent and the Grenadines,VCT,73.991,1.2,19.168400194000004,
149,149.0,Sudan,SDN,65.2882,3.86,17.555400086000002,
150,150.0,Suriname,SUR,71.9208,24.92,7.801999950200001,
151,151.0,Sweden,SWE,82.51804878200001,14.98,6.865999889399999,7.384
152,152.0,Switzerland,CHE,83.54195122,14.54,4.7240000724,7.512
153,153.0,Syrian Arab Republic,SYR,68.313,1.8,8.7434000012,
154,154.0,Tajikistan,TJK,69.99600000000001,4.22,7.0961999892,5.377
155,155.0,Tanzania,TZA,65.91199999999999,4.220000000000001,2.1811999798,3.702
156,156.0,Thailand,THA,78.35940000000001,8.5,0.722000003,5.891
157,157.0,Timor-Leste,TLS,67.72260000000001,3.6,4.6204000472,
158,158.0,Togo,TGO,60.049,9.1,3.2708000662,4.112
159,159.0,Tonga,TON,70.72619999999999,4.14,2.8131999968000003,
160,160.0,Trinidad and Tobago,TTO,74.20880000000001,9.44,3.1348000048,
161,161.0,Tunisia,TUN,75.8532,3.16,15.328000068,4.516
162,162.0,Turkmenistan,TKM,68.8546,5.94,4.2028000832000005,
163,163.0,Uganda,UGA,62.110800000000005,4.5600000000000005,1.9221999882,4.603
164,164.0,Ukraine,UKR,71.57136585399999,21.42,8.996000099,5.084
165,165.0,United Arab Emirates,ARE,79.483,6.1,2.0900000096,6.576
166,166.0,United Kingdom,GBR,81.165853658,8.3,4.436000013599999,6.943
167,167.0,United States,USA,78.63902439,15.439999999999998,4.4160000802,6.977
168,168.0,Uruguay,URY,77.5596,20.58,8.0880000114,6.474
169,169.0,Uzbekistan,UZB,70.9466,8.739999999999998,5.5769999504,6.063
170,170.0,Vanuatu,VUT,69.709,18.08,1.7986000062000005,
171,171.0,"Venezuela, RB",VEN,72.2294,2.2,5.313600063599999,
172,172.0,Vietnam,VNM,73.96920000000001,7.640000000000001,1.7539999964,5.485
173,173.0,"Yemen, Rep.",YEM,65.51219999999999,5.699999999999999,13.340200044,
174,174.0,Zambia,ZMB,62.0514,8.219999999999999,11.431400107999998,3.76
175,175.0,Zimbabwe,ZWE,60.662400000000005,15.579999999999998,4.7960000038,2.995
176,176.0,Africa Eastern and Southern,AFE,62.868882696,8.242692786200001,6.6752840228,
177,177.0,Africa Western and Central,AFW,56.882186298,5.567746286,5.671459156,
178,178.0,Arab World,ARB,71.321704638,4.2328033776,10.65452848,
179,179.0,Caribbean small states,CSS,72.60143932999999,9.6743645196,9.404730267,
180,180.0,Central Europe and the Baltics,CEB,76.946559834,13.827004264,5.5415773726,
181,181.0,Early-demographic dividend,EAR,70.49009817999999,8.4127093726,5.6749109374,
182,182.0,East Asia & Pacific,EAS,76.338214938,8.008280390600001,3.8887660514,
183,183.0,East Asia & Pacific (excluding high income),EAP,75.527107784,6.8982030308,3.9381245436,
184,184.0,Euro area,EMU,81.968293806,11.57581458,9.1153679526,
185,185.0,Europe & Central Asia,ECS,77.7316555,13.862133899999998,7.5411896922,
186,186.0,Europe & Central Asia (excluding high income),ECA,73.28152512,16.584927254,7.3973089562,
187,187.0,European Union,EUU,80.959184496,11.947976804,8.246230325400001,
188,188.0,Fragile and conflict affected situations,FCS,61.638392856,5.309572574,6.3331287516,
189,189.0,Heavily indebted poor countries (HIPC),HPC,62.521980608,6.3265278314,4.6847095282,
190,190.0,High income,HIC,80.718832628,13.680644556,5.6430449462,
191,191.0,IBRD only,IBD,73.663068092,9.329872682799998,5.7274109674,
192,192.0,IDA & IBRD total,IBT,71.044745934,8.5180189724,5.515914969400001,
193,193.0,IDA blend,IDB,60.840704384000006,6.809124145599999,5.2563389064,
194,194.0,IDA only,IDX,64.631220572,5.7470934482,4.542375744399999,
195,195.0,IDA total,IDA,63.352910194,6.104365686,4.759643714000001,
196,196.0,Late-demographic dividend,LTE,76.487042374,9.4147747408,5.1426563494,
197,197.0,Latin America & Caribbean,LCN,74.76362219199999,6.1894333162,7.6394425128,
198,198.0,Latin America & Caribbean (excluding high income),LAC,74.656530198,6.200904213199999,7.788625174000001,
199,199.0,Least developed countries: UN classification,LDC,64.38078207000001,5.7076291998,4.5394526536,
200,200.0,Low & middle income,LMY,70.96823161799999,8.5189814286,5.49594612,
