,Country Name,Happiness score,Unnamed: 0,Country Code,LifeExpMean,SuicideMean,UnempMean
216,OECD members,,207.0,OED,79.969257308,12.218474182,6.013405820400001
217,Other small states,,208.0,OSS,68.16775945600001,14.649591179999998,10.418152889999998
218,Pacific island small states,,209.0,PSS,69.125327672,13.825821991999998,2.8856099678
219,Post-demographic dividend,,210.0,PST,80.613006458,14.606034812,5.869652654799999
220,Pre-demographic dividend,,211.0,PRE,59.93407876399999,5.649103127799999,5.8414538052
221,Small states,,212.0,SST,69.015755086,13.695455866,9.8381311656
222,South Asia,,213.0,SAS,69.891357706,10.962984034,5.1068234774
223,South Asia (IDA & IBRD),,214.0,TSA,69.891357706,10.962984034,5.1068234774
224,Sub-Saharan Africa,,215.0,SSF,60.443288978,7.163217125999999,6.3145086044
225,Sub-Saharan Africa (excluding high income),,216.0,SSA,60.442071618,7.163130329,6.3145086044
226,Upper middle income,,217.0,UMC,76.02881414999999,9.1331472562,5.863695022
227,World,,218.0,WLD,72.54917057799999,9.297411091,5.5223481298
