,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean
52,Eswatini,SWZ,57.906600000000005,31.240000000000002,22.886199949999998
53,Ethiopia,ETH,64.8258,5.4399999999999995,2.3010000228
54,Fiji,FJI,67.5154,9.24,4.3348000526
55,Finland,FIN,81.651707316,15.319999999999999,8.1780000686
56,France,FRA,82.594634148,14.66,9.448000144400002
57,Gabon,GAB,66.072,8.919999999999998,20.69880066
58,"Gambia, The",GMB,63.059400000000004,4.9,9.484799957399998
59,Georgia,GEO,73.4494,9.879999999999999,14.257999992
60,Germany,DEU,80.96195122,12.819999999999999,3.8019999981999995
61,Ghana,GHA,63.988,6.94,5.029799938200001
62,Greece,GRC,81.42780488000001,5.0,21.30600014
63,Guatemala,GTM,72.5728,5.8,2.4039999960000005
64,Guinea,GIN,59.015,7.040000000000001,4.943999957999999
65,Guinea-Bissau,GNB,60.0504,7.219999999999999,5.964999961999999
66,Guyana,GUY,68.65439999999998,38.7,13.686800004
67,Haiti,HTI,63.751400000000004,9.760000000000002,13.907799911999998
68,Honduras,HND,72.69239999999999,2.44,5.9520000456
69,Hungary,HUN,75.966829268,18.080000000000002,4.6420000076
70,Iceland,ISL,82.67170731600001,12.44,3.1820000172
71,India,IND,70.36799999999998,12.34,5.3631999018
72,Indonesia,IDN,70.0578,2.4,4.142000102999999
73,"Iran, Islamic Rep.",IRN,75.7986,5.88,11.789999771999998
74,Iraq,IRQ,70.3862,3.8600000000000003,12.078800009999998
75,Ireland,IRL,82.034146342,9.760000000000002,7.1359998702
76,Israel,ISR,82.523414632,5.1,4.4139999865999995
77,Italy,ITA,83.115609756,6.839999999999999,11.071999741800001
78,Jamaica,JAM,71.977,2.2800000000000002,11.0240000716
79,Japan,JPN,84.089170732,17.119999999999997,2.8200000284
80,Jordan,JOR,75.50919999999999,1.5399999999999998,16.315999794
81,Kazakhstan,KAZ,72.732,20.46,4.8880000114
82,Kenya,KEN,62.431,5.720000000000001,3.6618000504
83,"Korea, Dem. People's Rep.",PRK,72.9592,9.879999999999999,2.6828000068
84,"Korea, Rep.",KOR,82.556097562,27.639999999999997,3.6840000149999996
85,Kuwait,KWT,79.69019999999999,2.7199999999999998,2.1778000356
86,Kyrgyz Republic,KGZ,71.16048780400001,8.44,7.092800044800001
87,Lao PDR,LAO,67.4086,5.56,0.8108000040000001
88,Latvia,LVA,74.77219511999999,20.5,8.3900000572
89,Lebanon,LBN,79.47059999999999,2.7600000000000002,10.304000092199999
90,Lesotho,LSO,52.867000000000004,81.33999999999999,23.1538002
91,Liberia,LBR,60.4148,4.4799999999999995,2.8507999898
92,Libya,LBY,72.23859999999999,5.28,19.508000184000004
93,Lithuania,LTU,75.287317072,30.179999999999996,7.2920001032
94,Luxembourg,LUX,82.401463414,10.820000000000002,5.9320000649999995
95,Madagascar,MDG,65.1164,5.5,1.8235999822
96,Malawi,MWI,62.7918,5.840000000000001,5.7901999474000005
97,Malaysia,MYS,75.45259999999999,5.279999999999999,3.3019999980000003
98,Maldives,MDV,79.9278,2.9200000000000004,5.975599956799999
